userId	itemId	rating
s1U1063696	P1009327	1.0
s1U1079095	P1000767	1.0
s1U1003656	P1002519	1.0
s1U1018372	P1023321	1.0
s1U1121563	P1001772	1.0
s1U1012504	P1022282	1.0
s1U1022086	P1029713	1.0
s1U1062356	P1010520	1.0
s1U1004538	P1008508	1.0
s1U1009729	P1016832	1.0
s1U1054553	P1027062	1.0
s1U1089361	P1022364	1.0
s1U1018231	P1007263	1.0
s1U1089046	P1016848	1.0
s1U1083387	P1024607	1.0
s1U1065606	P1033480	1.0
s1U1029963	P1000394	1.0
s1U1088167	P1020285	1.0
s1U1132613	P1008285	1.0
s1U1079966	P1017766	1.0
s1U1103391	P1003359	1.0
s1U1050957	P1018990	1.0
s1U1022860	P1011851	1.0
s1U1093473	P1020181	1.0
s1U1089228	P1006805	1.0
s1U1129291	P1003889	1.0
s1U1084525	P1004459	1.0
s1U1039294	P1013245	1.0
s1U1062771	P1001591	1.0
s1U1049649	P1016510	1.0
s1U1053479	P1031862	1.0
s1U1139165	P1001944	1.0
s1U1077293	P1012777	1.0
s1U1032826	P1016782	1.0
s1U1080079	P1016699	1.0
s1U1081628	P1026426	1.0
s1U1018618	P1005704	1.0
s1U1066670	P1016439	1.0
s1U1030950	P1020097	1.0
s1U1083435	P1027840	1.0
s1U1032302	P1025204	1.0
s1U1068932	P1003209	1.0
s1U1130441	P1022713	1.0
s1U1128346	P1017100	1.0
s1U1137217	P1011439	1.0
s1U1057642	P1004686	1.0
s1U1128647	P1004846	1.0
s1U1079311	P1014842	1.0
s1U1077243	P1008568	1.0
s1U1135495	P1000687	1.0
s1U1133721	P1008168	1.0
s1U1043822	P1003242	1.0
s1U1012950	P1025958	1.0
s1U1069168	P1004971	1.0
s1U1127520	P1016550	1.0
s1U1055107	P1010779	1.0
s1U1022502	P1000024	1.0
s1U1089982	P1012319	1.0
s1U1044034	P1031181	1.0
s1U1046424	P1004137	1.0
s1U1000578	P1004735	1.0
s1U1087424	P1026347	1.0
s1U1104160	P1034086	1.0
s1U1015674	P1016840	1.0
s1U1121170	P1001244	1.0
s1U1017620	P1015166	1.0
s1U1032271	P1026498	1.0
s1U1122197	P1001636	1.0
s1U1043456	P1020382	1.0
s1U1132201	P1024255	1.0
s1U1098733	P1033475	1.0
s1U1032565	P1015989	1.0
s1U1133310	P1032537	1.0
s1U1054177	P1025046	1.0
s1U1015648	P1018527	1.0
s1U1137994	P1013150	1.0
s1U1041618	P1004990	1.0
s1U1018231	P1020564	1.0
s1U1114283	P1011199	1.0
s1U1078371	P1000180	1.0
s1U1023905	P1020344	1.0
s1U1135190	P1024534	1.0
s1U1071162	P1013483	1.0
s1U1048716	P1028965	1.0
s1U1140429	P1003732	1.0
s1U1135002	P1029722	1.0
s1U1117941	P1008752	1.0
s1U1076030	P1027029	1.0
s1U1021334	P1029147	1.0
s1U1018297	P1030573	1.0
s1U1108087	P1004480	1.0
s1U1032257	P1034428	1.0
s1U1023985	P1012800	1.0
s1U1126750	P1005551	1.0
s1U1007145	P1011158	1.0
s1U1084735	P1000024	1.0
s1U1005918	P1027325	1.0
s1U1062301	P1014715	1.0
s1U1106090	P1014638	1.0
s1U1014161	P1033422	1.0
s1U1067840	P1032032	1.0
s1U1110014	P1032676	1.0
s1U1098259	P1027395	1.0
s1U1107436	P1008804	1.0
s1U1139101	P1011054	1.0
s1U1031470	P1018599	1.0
s1U1134741	P1013022	1.0
s1U1023677	P1001975	1.0
s1U1018363	P1008304	1.0
s1U1029535	P1026786	1.0
s1U1021077	P1000536	1.0
s1U1074538	P1012946	1.0
s1U1095614	P1024897	1.0
s1U1046261	P1026154	1.0
s1U1046026	P1028081	1.0
s1U1045399	P1022333	1.0
s1U1033402	P1029936	1.0
s1U1088223	P1014489	1.0
s1U1074464	P1022413	1.0
s1U1051779	P1005610	1.0
s1U1114157	P1014054	1.0
s1U1129531	P1027807	1.0
s1U1046261	P1001847	1.0
s1U1137970	P1026887	1.0
s1U1011423	P1014603	1.0
s1U1073297	P1011303	1.0
s1U1004815	P1014943	1.0
s1U1030290	P1029250	1.0
s1U1011201	P1001752	1.0
s1U1104014	P1021051	1.0
s1U1112077	P1017864	1.0
s1U1001301	P1008568	1.0
s1U1034470	P1014353	1.0
s1U1035196	P1029713	1.0
s1U1107687	P1020912	1.0
s1U1062301	P1014569	1.0
s1U1039333	P1024461	1.0
s1U1121208	P1004718	1.0
s1U1089908	P1019878	1.0
s1U1010543	P1000394	1.0
s1U1091418	P1027773	1.0
s1U1031205	P1006148	1.0
s1U1117350	P1020642	1.0
s1U1065205	P1021506	1.0
s1U1104943	P1028814	1.0
s1U1128052	P1019166	1.0
s1U1034410	P1021970	1.0
s1U1128177	P1021054	1.0
s1U1036075	P1031570	1.0
s1U1049238	P1003921	1.0
s1U1056247	P1010608	1.0
s1U1097550	P1015604	1.0
s1U1041271	P1031299	1.0
s1U1006750	P1026269	1.0
s1U1023704	P1003404	1.0
s1U1114570	P1023182	1.0
s1U1009454	P1011234	1.0
s1U1078111	P1019195	1.0
s1U1114687	P1000669	1.0
s1U1098259	P1033246	1.0
s1U1140484	P1019871	1.0
s1U1035506	P1023560	1.0
s1U1128016	P1028434	1.0
s1U1026907	P1001726	1.0
s1U1042605	P1030670	1.0
s1U1123404	P1008583	1.0
s1U1055853	P1026598	1.0
s1U1028541	P1022053	1.0
s1U1096921	P1019282	1.0
s1U1010920	P1017405	1.0
s1U1105427	P1010716	1.0
s1U1140697	P1026289	1.0
s1U1118554	P1018008	1.0
s1U1014852	P1013035	1.0
s1U1055472	P1001870	1.0
s1U1078885	P1007913	1.0
s1U1093954	P1019986	1.0
s1U1124742	P1024602	1.0
s1U1125592	P1000711	1.0
s1U1068228	P1005582	1.0
s1U1009038	P1007373	1.0
s1U1045723	P1018759	1.0
s1U1027160	P1024054	1.0
s1U1033504	P1017478	1.0
s1U1023682	P1005807	1.0
s1U1092045	P1019374	1.0
s1U1110567	P1018008	1.0
s1U1097642	P1024954	1.0
s1U1068658	P1014981	1.0
s1U1084827	P1007785	1.0
s1U1133825	P1020771	1.0
s1U1114918	P1017193	1.0
s1U1051734	P1022261	1.0
s1U1088741	P1007044	1.0
s1U1087509	P1024485	1.0
s1U1005429	P1024834	1.0
s1U1103908	P1003349	1.0
s1U1016066	P1016118	1.0
s1U1118465	P1003315	1.0
s1U1015032	P1007333	1.0
s1U1114496	P1018322	1.0
s1U1099425	P1029413	1.0
s1U1032843	P1018024	1.0
s1U1025186	P1027266	1.0
s1U1096867	P1003852	1.0
s1U1128636	P1010310	1.0
s1U1021776	P1021499	1.0
s1U1107147	P1004153	1.0
s1U1040316	P1011028	1.0
s1U1042989	P1032740	1.0
s1U1078169	P1020817	1.0
s1U1020764	P1028124	1.0
s1U1059614	P1015220	1.0
s1U1103649	P1001930	1.0
s1U1016107	P1025067	1.0
s1U1035018	P1023656	1.0
s1U1072635	P1004300	1.0
s1U1135678	P1015989	1.0
s1U1031184	P1023600	1.0
s1U1116026	P1028121	1.0
s1U1080574	P1027944	1.0
s1U1107557	P1000562	1.0
s1U1123518	P1017938	1.0
s1U1129804	P1033388	1.0
s1U1077219	P1011638	1.0
s1U1024478	P1014489	1.0
s1U1132864	P1021909	1.0
s1U1096564	P1003624	1.0
s1U1106286	P1004392	1.0
s1U1122211	P1030122	1.0
s1U1039385	P1013358	1.0
s1U1074538	P1005038	1.0
s1U1029260	P1029713	1.0
s1U1054524	P1010364	1.0
s1U1136162	P1028948	1.0
s1U1062985	P1010520	1.0
s1U1013605	P1003280	1.0
s1U1114695	P1006476	1.0
s1U1112053	P1014414	1.0
s1U1032639	P1026098	1.0
s1U1033475	P1004910	1.0
s1U1067380	P1024399	1.0
s1U1086495	P1029713	1.0
s1U1076951	P1032453	1.0
s1U1071789	P1011289	1.0
s1U1108527	P1028875	1.0
s1U1005525	P1010407	1.0
s1U1054996	P1002169	1.0
s1U1071744	P1015206	1.0
s1U1066558	P1007037	1.0
s1U1113649	P1017096	1.0
s1U1082633	P1017345	1.0
s1U1012990	P1004320	1.0
s1U1078605	P1023705	1.0
s1U1087862	P1025890	1.0
s1U1028277	P1021717	1.0
s1U1015269	P1006805	1.0
s1U1134047	P1010863	1.0
s1U1121052	P1005743	1.0
s1U1122901	P1029950	1.0
s1U1056576	P1018957	1.0
s1U1090386	P1016807	1.0
s1U1127173	P1012426	1.0
s1U1077859	P1032151	1.0
s1U1100451	P1032947	1.0
s1U1064064	P1031336	1.0
s1U1082812	P1030204	1.0
s1U1127064	P1015032	1.0
s1U1095875	P1027361	1.0
s1U1049209	P1009327	1.0
s1U1056840	P1010880	1.0
s1U1078443	P1024324	1.0
s1U1027016	P1028180	1.0
s1U1061766	P1023321	1.0
s1U1073850	P1020166	1.0
s1U1079819	P1020657	1.0
s1U1095706	P1018491	1.0
s1U1073332	P1009257	1.0
s1U1046567	P1025358	1.0
s1U1125494	P1021512	1.0
s1U1034784	P1009261	1.0
s1U1051779	P1009327	1.0
s1U1130559	P1022877	1.0
s1U1048195	P1020283	1.0
s1U1028177	P1017284	1.0
s1U1045347	P1019488	1.0
s1U1051997	P1031102	1.0
s1U1003131	P1011321	1.0
s1U1111103	P1030086	1.0
s1U1079548	P1033629	1.0
s1U1134389	P1009645	1.0
s1U1061374	P1024544	1.0
s1U1117184	P1029195	1.0
s1U1122560	P1021384	1.0
s1U1117741	P1012323	1.0
s1U1072638	P1018108	1.0
s1U1141066	P1020110	1.0
s1U1040068	P1002524	1.0
s1U1077678	P1023662	1.0
s1U1011543	P1017253	1.0
s1U1015008	P1018789	1.0
s1U1055046	P1004600	1.0
s1U1039939	P1015878	1.0
s1U1102720	P1014832	1.0
s1U1048622	P1000518	1.0
s1U1104127	P1030697	1.0
s1U1138269	P1006476	1.0
s1U1004996	P1012171	1.0
s1U1026117	P1015989	1.0
s1U1054657	P1020753	1.0
s1U1136495	P1015662	1.0
s1U1085917	P1004363	1.0
s1U1126379	P1012175	1.0
s1U1076269	P1027335	1.0
s1U1057363	P1021077	1.0
s1U1030019	P1011311	1.0
s1U1086674	P1007802	1.0
s1U1105491	P1024987	1.0
s1U1006248	P1018008	1.0
s1U1021010	P1004823	1.0
s1U1007203	P1020753	1.0
s1U1021389	P1009937	1.0
s1U1031030	P1011924	1.0
s1U1121176	P1009903	1.0
s1U1093583	P1017895	1.0
s1U1021503	P1034107	1.0
s1U1053957	P1023377	1.0
s1U1071353	P1014105	1.0
s1U1057660	P1006893	1.0
s1U1050868	P1000394	1.0
s1U1116385	P1012774	1.0
s1U1060775	P1031465	1.0
s1U1059864	P1024458	1.0
s1U1004808	P1005661	1.0
s1U1039835	P1000042	1.0
s1U1046422	P1001317	1.0
s1U1028345	P1014518	1.0
s1U1016056	P1020406	1.0
s1U1082909	P1016893	1.0
s1U1023677	P1000874	1.0
s1U1090616	P1034325	1.0
s1U1055844	P1006067	1.0
s1U1106700	P1032116	1.0
s1U1077459	P1027670	1.0
s1U1089903	P1031318	1.0
s1U1093380	P1034231	1.0
s1U1139072	P1010520	1.0
s1U1129115	P1030179	1.0
s1U1001203	P1023305	1.0
s1U1036262	P1016246	1.0
s1U1129772	P1000180	1.0
s1U1018361	P1009571	1.0
s1U1084497	P1034205	1.0
s1U1050440	P1017022	1.0
s1U1088735	P1007169	1.0
s1U1093478	P1003591	1.0
s1U1039392	P1027760	1.0
s1U1007910	P1001460	1.0
s1U1049209	P1010520	1.0
s1U1085736	P1032339	1.0
s1U1044173	P1019594	1.0
s1U1104286	P1008704	1.0
