userId	itemId	rating
s2U1011156	P1003979	1.0
s2U1018329	P1033791	5.0
s2U1014385	P1005582	5.0
s2U1012722	P1017313	5.0
s2U1016639	P1003546	4.0
s2U1005255	P1006728	5.0
s2U1015952	P1015556	4.0
s2U1004290	P1020805	5.0
s2U1010523	P1002699	5.0
s2U1003862	P1029713	5.0
s2U1006880	P1032474	4.0
s2U1006200	P1020671	4.0
s2U1012880	P1024048	5.0
s2U1002647	P1027334	5.0
s2U1007326	P1028084	5.0
s2U1015096	P1028438	5.0
s2U1010222	P1025862	5.0
s2U1011711	P1032823	3.0
s2U1008166	P1025649	4.0
s2U1004379	P1028848	4.0
s2U1009655	P1020782	5.0
s2U1003832	P1012046	5.0
s2U1006853	P1028202	5.0
s2U1013376	P1030212	3.0
s2U1015992	P1016655	5.0
s2U1011623	P1012798	3.0
s2U1002858	P1014489	5.0
s2U1007403	P1023991	4.0
s2U1002341	P1021949	5.0
s2U1014555	P1003116	4.0
s2U1016099	P1017737	4.0
s2U1017929	P1026507	5.0
s2U1015922	P1034325	5.0
s2U1012225	P1029456	5.0
s2U1017559	P1027334	4.0
s2U1016473	P1010743	5.0
s2U1015766	P1009114	5.0
s2U1009571	P1017737	4.0
s2U1011317	P1021513	5.0
s2U1000785	P1016855	5.0
s2U1012971	P1021355	3.0
s2U1005863	P1014489	5.0
s2U1000335	P1014962	5.0
s2U1008951	P1028202	5.0
s2U1012350	P1034254	4.0
s2U1012859	P1019544	5.0
s2U1006553	P1025649	1.0
s2U1009622	P1018535	5.0
s2U1001901	P1012734	4.0
s2U1017242	P1014211	5.0
s2U1009299	P1027334	5.0
s2U1007051	P1023991	4.0
s2U1001768	P1005582	5.0
s2U1009512	P1027334	5.0
s2U1015013	P1032956	5.0
s2U1014562	P1009000	5.0
s2U1003782	P1012798	5.0
s2U1017176	P1006728	4.0
s2U1011330	P1031839	1.0
s2U1016619	P1029002	5.0
s2U1013645	P1026529	5.0
s2U1011181	P1010271	4.0
s2U1002548	P1020671	5.0
s2U1014335	P1033776	1.0
s2U1000065	P1014836	5.0
s2U1017195	P1009277	5.0
s2U1008803	P1014489	5.0
s2U1001637	P1030336	5.0
s2U1011332	P1028202	5.0
s2U1016574	P1021772	5.0
s2U1005924	P1033723	4.0
s2U1016015	P1033776	5.0
s2U1005022	P1005552	1.0
s2U1010757	P1006873	2.0
s2U1000788	P1027990	5.0
s2U1004649	P1019264	4.0
s2U1001016	P1024745	5.0
s2U1008705	P1016855	5.0
s2U1000027	P1031571	5.0
s2U1003727	P1014820	3.0
s2U1004130	P1012046	5.0
s2U1012109	P1024181	5.0
s2U1005882	P1012046	5.0
s2U1004864	P1003979	5.0
s2U1008589	P1030814	5.0
s2U1018590	P1033962	4.0
s2U1010360	P1029713	5.0
s2U1013482	P1028202	5.0
s2U1005644	P1031358	5.0
s2U1013431	P1019758	5.0
s2U1018631	P1034254	5.0
s2U1003354	P1033723	5.0
s2U1010735	P1006621	5.0
s2U1011289	P1000606	5.0
s2U1011496	P1005582	5.0
s2U1010899	P1009225	5.0
s2U1017375	P1001322	3.0
s2U1005834	P1030336	5.0
s2U1015957	P1022857	5.0
s2U1014434	P1034254	2.0
s2U1014086	P1004735	5.0
s2U1007732	P1000264	1.0
s2U1010452	P1009987	5.0
s2U1010813	P1028202	5.0
s2U1001679	P1033776	1.0
s2U1002114	P1028202	1.0
s2U1003846	P1021297	5.0
s2U1011339	P1028522	5.0
s2U1009157	P1016377	4.0
s2U1010146	P1005402	5.0
s2U1012391	P1031839	5.0
s2U1003141	P1030890	5.0
s2U1012681	P1028710	5.0
s2U1010417	P1015746	5.0
s2U1018032	P1004979	3.0
s2U1005384	P1019160	5.0
s2U1005402	P1033013	5.0
s2U1004339	P1034159	4.0
s2U1018471	P1020328	5.0
s2U1009636	P1010652	1.0
s2U1013372	P1019053	3.0
s2U1015263	P1031839	5.0
s2U1014026	P1011663	5.0
s2U1001036	P1016533	5.0
s2U1009227	P1027334	5.0
s2U1010526	P1006751	5.0
s2U1005886	P1030336	5.0
s2U1014050	P1030336	5.0
s2U1017384	P1023402	4.0
s2U1003649	P1003546	5.0
s2U1014526	P1012046	5.0
s2U1003729	P1029713	3.0
s2U1005599	P1009000	5.0
s2U1017447	P1014456	5.0
s2U1001465	P1017737	5.0
s2U1000498	P1014489	5.0
s2U1005252	P1021314	3.0
s2U1005958	P1003074	5.0
s2U1005135	P1014547	5.0
s2U1012109	P1000237	5.0
s2U1018036	P1030336	5.0
s2U1014673	P1009114	2.0
s2U1008160	P1007447	4.0
s2U1013883	P1004735	5.0
s2U1008442	P1005936	5.0
s2U1007386	P1015045	2.0
s2U1010389	P1015556	4.0
s2U1010137	P1024813	5.0
s2U1007677	P1029713	5.0
s2U1010401	P1034254	3.0
s2U1000326	P1003979	1.0
s2U1005236	P1030336	1.0
s2U1012152	P1022357	5.0
s2U1015474	P1026305	4.0
s2U1011899	P1030212	5.0
s2U1007549	P1004735	1.0
s2U1015619	P1031839	5.0
s2U1010285	P1034124	4.0
s2U1000299	P1007979	5.0
s2U1005722	P1000257	4.0
s2U1018212	P1027334	5.0
s2U1001456	P1033251	4.0
s2U1007142	P1027074	5.0
s2U1010341	P1030336	5.0
s2U1010503	P1007447	4.0
s2U1009668	P1011043	2.0
s2U1006271	P1026328	5.0
s2U1011988	P1023823	5.0
s2U1000564	P1014836	4.0
s2U1004957	P1030336	5.0
s2U1018447	P1033655	5.0
s2U1014057	P1001568	5.0
s2U1015170	P1030573	5.0
s2U1003376	P1007135	5.0
s2U1016296	P1026529	5.0
s2U1018773	P1030489	5.0
s2U1017802	P1007014	5.0
s2U1006204	P1031839	5.0
s2U1003393	P1030336	5.0
s2U1014597	P1026615	4.0
