userId	itemId	rating
t1U1001722	P1016533	5.0
t1U1005945	P1030890	5.0
t1U1005291	P1004153	5.0
t1U1008381	P1033158	5.0
t1U1003947	P1012363	5.0
t1U1004280	P1000399	5.0
t1U1002933	P1013497	5.0
t1U1005750	P1014836	4.0
t1U1009181	P1026232	5.0
t1U1009610	P1026881	5.0
t1U1006036	P1001853	5.0
t1U1001624	P1016624	2.0
t1U1003903	P1026922	5.0
t1U1004393	P1005582	5.0
t1U1003908	P1002586	5.0
t1U1004894	P1005936	4.0
t1U1005992	P1020671	5.0
t1U1008724	P1029794	5.0
t1U1001638	P1018535	4.0
t1U1005259	P1003946	5.0
t1U1002572	P1010384	5.0
t1U1009233	P1026012	3.0
t1U1002563	P1032457	5.0
t1U1007111	P1020671	5.0
t1U1009685	P1018535	5.0
t1U1002828	P1030339	5.0
t1U1001551	P1023167	4.0
t1U1008709	P1015719	5.0
t1U1008986	P1032457	5.0
t1U1006999	P1017368	5.0
t1U1006708	P1002937	5.0
t1U1006292	P1020650	4.0
t1U1009708	P1001972	5.0
t1U1002328	P1024312	5.0
t1U1002658	P1023329	5.0
t1U1004815	P1033540	4.0
t1U1007742	P1018920	5.0
t1U1004401	P1016495	3.0
t1U1008823	P1026881	5.0
t1U1003097	P1015489	5.0
t1U1003486	P1034475	5.0
t1U1001679	P1005449	4.0
t1U1009528	P1011962	5.0
t1U1003621	P1015836	5.0
t1U1000775	P1029981	5.0
t1U1001645	P1031839	5.0
t1U1000572	P1013332	4.0
t1U1009370	P1023402	5.0
t1U1006805	P1010361	4.0
t1U1002372	P1000590	5.0
t1U1002061	P1005936	5.0
t1U1003042	P1018535	5.0
t1U1008897	P1018192	2.0
t1U1008778	P1008383	5.0
t1U1001420	P1020344	5.0
t1U1003895	P1002937	4.0
t1U1005058	P1010716	4.0
t1U1002101	P1008940	5.0
t1U1006692	P1008659	5.0
t1U1004880	P1020616	5.0
t1U1003452	P1006303	5.0
t1U1000494	P1024048	5.0
t1U1006939	P1017847	5.0
t1U1009598	P1021297	5.0
t1U1008675	P1005582	5.0
t1U1008654	P1012035	5.0
t1U1001408	P1017737	5.0
t1U1005392	P1009795	5.0
t1U1001010	P1012798	4.0
t1U1005300	P1014489	5.0
t1U1005589	P1002756	2.0
t1U1008751	P1007547	1.0
t1U1008056	P1033796	5.0
t1U1009120	P1005603	4.0
t1U1008118	P1012572	4.0
t1U1007161	P1002788	5.0
t1U1009149	P1027139	4.0
t1U1008334	P1020650	5.0
t1U1003903	P1016533	5.0
t1U1007513	P1008383	5.0
t1U1001257	P1020344	5.0
t1U1004764	P1006074	5.0
t1U1002956	P1003546	5.0
t1U1003796	P1010196	5.0
t1U1005408	P1028833	5.0
t1U1002976	P1029713	5.0
t1U1009299	P1024992	5.0
t1U1004120	P1032457	2.0
t1U1007313	P1011245	1.0
t1U1001644	P1018920	5.0
t1U1004299	P1027095	2.0
t1U1001857	P1000398	5.0
t1U1002579	P1023402	5.0
t1U1009300	P1008080	5.0
t1U1006702	P1028722	5.0
t1U1008541	P1001655	3.0
t1U1000278	P1024444	5.0
t1U1005237	P1031029	5.0
t1U1008816	P1033987	1.0
t1U1003598	P1027828	5.0
t1U1005570	P1016780	5.0
t1U1007520	P1016533	5.0
t1U1000830	P1013090	5.0
t1U1005937	P1012046	5.0
t1U1002091	P1027304	5.0
t1U1001084	P1031149	4.0
t1U1003285	P1013166	3.0
t1U1007348	P1026592	5.0
t1U1001726	P1029456	5.0
t1U1003578	P1001568	5.0
t1U1009296	P1022029	5.0
